id,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults
19219,0.14999367176365216,0.1361691633526037,0.15974440090790049,0.1526612351046406,0.11041517045520885,0.36385995519595066,0.11281289264077397
19220,0.851670945935503,0.7381123016559162,0.8625764591937807,0.7592273937670069,0.8455071873495043,0.7409577142183166,0.8076483900425192
19221,0.9444420795320245,0.8005682541721938,0.9531879517537845,0.9012340653928823,0.9398812374839279,0.7163838215741571,0.9098725625161415
19222,0.9086660480414737,0.6787070078501886,0.9083146609845801,0.8761372308909648,0.8890812919449036,0.5230866059748267,0.8675065945110892
19223,0.8120232528953819,0.6053879492855991,0.8115291961962815,0.7708194873961639,0.7927562028606778,0.5423100105113661,0.7673630699580538
19224,0.7587605046909267,0.7866863822249156,0.8106877505705024,0.5878927649202454,0.780438160448861,0.8053401088354493,0.7157921086052046
19225,0.6928636186187488,0.6173312099049612,0.6937818958314514,0.5375195255855795,0.6673476797162782,0.7247327908113699,0.6270972788355856
19226,0.3891725979077644,0.24432881132296128,0.4016465766766482,0.3684873832927693,0.2787626377681983,0.231142850757789,0.2923989453494036
19227,0.590395292815082,0.4280714788641666,0.5934024713904866,0.5340923485835039,0.5563424239289514,0.434490043058376,0.5258868902979521
19228,0.0638330819291583,0.059334010557610756,0.09453302999866948,0.11113084741231676,0.05668118554646408,0.05416205023903773,0.055049882349557426
19229,0.8780059942250854,0.6695571164422054,0.879584275576519,0.8398749491410381,0.8616806686148991,0.5725964312411828,0.8370635423179122
19230,0.31309232582581165,0.9449993381922943,0.23944267382728196,0.15256893489986356,0.43339152354890376,0.8716669852528331,0.3775657208809369
19231,0.23886276011882138,0.924241803181889,0.2912349205469973,0.080323687837918,0.31331628437054176,0.9353723113993626,0.24326160002211059
19232,0.6470718662098557,0.5374294172192441,0.6486510540753229,0.5401956997618366,0.6166403773730318,0.6446173113179703,0.5851296762586073
19233,0.6095808879938497,0.4094336480621481,0.6092450601678879,0.6133480176818562,0.5777797682421023,0.34079400294059253,0.5515513099601493
19234,0.7719310225715099,0.5655128781760766,0.7686137094870006,0.7340432965538181,0.7478308778428184,0.5106097030096527,0.7236844295356124
19235,0.5463693172941049,0.3807480142513327,0.5480920360193268,0.506746828215644,0.5055792829771242,0.36938516310904684,0.4791811861302412
19236,0.05916776157004187,0.06766255460037922,0.0900683197111168,0.05496063188490056,0.052750322990870915,0.17391839822102162,0.050909945697821014
19237,0.47673596884081987,0.29145014637058103,0.47941818722923013,0.4768655474202639,0.41041070171926114,0.23523392862106732,0.4017814451662738
19238,0.4745030787400461,0.31691794296596193,0.48174030154258407,0.4383427499933207,0.40746442074352285,0.3176920095038291,0.393452766983691
