"id","Pastry","Z_Scratch","K_Scatch","Stains","Dirtiness","Bumps","Other_Faults"
19219,0.5,0.5,0.5,0.5,0.5,0.5,0.0948821289930493
19220,0.5,0.5,0.5,0.5,0.5,0.5,0.0153312091715634
19221,0.5,0.5,0.5,0.5,0.5,0.5,0.792324801906943
19222,0.5,0.5,0.5,0.5,0.5,0.5,0.214957308024168
19223,0.5,0.5,0.5,0.5,0.5,0.5,0.492419284069911
19224,0.5,0.5,0.5,0.5,0.5,0.5,0.657765977084637
19225,0.5,0.5,0.5,0.5,0.5,0.5,0.109512707218528
19226,0.5,0.5,0.5,0.5,0.5,0.5,0.252342292806134
19227,0.5,0.5,0.5,0.5,0.5,0.5,0.268973132362589
19228,0.5,0.5,0.5,0.5,0.5,0.5,0.184073003241792
19229,0.5,0.5,0.5,0.5,0.5,0.5,0.395819901488721
19230,0.5,0.5,0.5,0.5,0.5,0.5,0.695691263303161
19231,0.5,0.5,0.5,0.5,0.5,0.5,0.620486148633063
19232,0.5,0.5,0.5,0.5,0.5,0.5,0.51699761999771
19233,0.5,0.5,0.5,0.5,0.5,0.5,0.124529690481722
19234,0.5,0.5,0.5,0.5,0.5,0.5,0.692252774722874
19235,0.5,0.5,0.5,0.5,0.5,0.5,0.411502430681139
19236,0.5,0.5,0.5,0.5,0.5,0.5,0.209245485952124
19237,0.5,0.5,0.5,0.5,0.5,0.5,0.300483832601458
19238,0.5,0.5,0.5,0.5,0.5,0.5,0.526920369593427
19239,0.5,0.5,0.5,0.5,0.5,0.5,0.19628272135742
19240,0.5,0.5,0.5,0.5,0.5,0.5,0.764194520190358
19241,0.5,0.5,0.5,0.5,0.5,0.5,0.957790037151426
19242,0.5,0.5,0.5,0.5,0.5,0.5,0.578834181884304
19243,0.5,0.5,0.5,0.5,0.5,0.5,0.64433285407722
19244,0.5,0.5,0.5,0.5,0.5,0.5,0.135078479535878
19245,0.5,0.5,0.5,0.5,0.5,0.5,0.679504244355485
